expertiseName,expertiseUri,count
Experimental Petrology,http://info.deepcarbon.net/individual/d79afd132-60e3-42ff-8d36-9adb4d0db80f,36
Experimental Petrology and Geophysics,http://info.deepcarbon.net/individual/dd43b0530-3725-4152-a344-97ec94453667,5
Experimetal Petrology,http://info.deepcarbon.net/individual/62efe82f591f80ec23e6e9100e,1
Experimetnal Petrology and diamond,http://info.deepcarbon.net/individual/7a97167bdd6a481d0c1163d21f,1
Extreme Environments,http://info.deepcarbon.net/individual/d2cdab347-8539-4cf1-b583-0d8e7a26d6ea,19
Extreme Physics and Chemistry,http://info.deepcarbon.net/individual/f96a757788c79cebc65de956fe,1
Extremophiles,http://info.deepcarbon.net/individual/d17c8b716-b96a-4ce1-947b-5eff463ed129,14
FTIR,http://info.deepcarbon.net/individual/e7e4c80a-e3ca-456b-a417-c8485b26965d,7
Field Geometry,http://info.deepcarbon.net/individual/n18199,1
First-Principles Canculations,http://info.deepcarbon.net/individual/4c3188af16d166f953244becfd,1
Flow dynamics,http://info.deepcarbon.net/individual/3d0f0253238e14d03d9e2cc250,1
Fluid Geochemistry,http://info.deepcarbon.net/individual/47aeab208dd0aa12b487cb09dc,1
Fluid geochemistry,http://info.deepcarbon.net/individual/405628a29a28de015ed3f4824b,1
Fluid inclusions,http://info.deepcarbon.net/individual/d7c868a9cf79b7d8b577e5f715,1
Fluid-Rock Interactions,http://info.deepcarbon.net/individual/d280ba34c-21ec-4c3e-a88b-7ce4d6457838,20
Fluid-rock interaction,http://info.deepcarbon.net/individual/dbf189d39edb34f8b308f7c859,1
Fluorescence,http://info.deepcarbon.net/individual/61180e80-4f15-45af-b1b1-12946e27e57f,2
Fracture-Hosted Waters,http://info.deepcarbon.net/individual/db0b8d152-8ad6-4ec8-bd6a-193c0e754d17,6
GIS,http://info.deepcarbon.net/individual/55079daabc8863e1dc1d9b7491,1
Gas Chemistry,http://info.deepcarbon.net/individual/d175849b7-e9b3-421f-a725-49aa6c9d4f2d,7
Gas Geochemistry,http://info.deepcarbon.net/individual/59dadf042dcb9329514fe9ad8e,1
Gas Geochemistry,http://info.deepcarbon.net/individual/ce5458ad83ed7347db499bf60c,1
Gas Geochemistry,http://info.deepcarbon.net/individual/d778863f41cd1ae6f8b1f12963,1
Gas and Fluid Geochemistry,http://info.deepcarbon.net/individual/32c9021fcee577248a5abc31d0,1
Gas geochemistry,http://info.deepcarbon.net/individual/d76f23fdb-d710-4edf-81f5-5657162e36cd,22
General chemistry,http://info.deepcarbon.net/individual/307294e8cea3ba47fb7f817c69,1
Genomics,http://info.deepcarbon.net/individual/d5f14ddfc-d6c8-47ca-9e5d-f443ed0ecd0a,17
Geo Microbiology,http://info.deepcarbon.net/individual/c5d0b210f6bce144bdaa23bbad,1
Geobiology,http://info.deepcarbon.net/individual/6756dda571fafe517b65d55994,1
Geobiotechnology,http://info.deepcarbon.net/individual/174dab8dd3a123a68df9509c89,1
Geochem,http://info.deepcarbon.net/individual/3d5581e25439c5a17ce52a04db,1
Geochemistry,http://info.deepcarbon.net/individual/d9e30ebc3-c4bd-46ba-8eb9-e53cff863459,148
Geochemistry and Geo-hazards,http://info.deepcarbon.net/individual/79e661c7a1cb8ffd359a56af64,1
Geochemisty,http://info.deepcarbon.net/individual/d3e15291e3af41d23542a86c34,1
Geodata Services,http://info.deepcarbon.net/individual/d5bb2bd42-423b-4193-bfc5-ec4ea8505b66,1
Geodynamics,http://info.deepcarbon.net/individual/d7ffc4d1f-7fa7-463a-80b4-9a2534028196,10
Geoinformatics,http://info.deepcarbon.net/individual/dc94cd2e3-c549-4279-857f-2d84286f365b,6
Geoinformatics,http://info.deepcarbon.net/individual/dc94cd2e3-c549-4279-857f-2d84286f365b,6
Geologic Time Scale,http://info.deepcarbon.net/individual/n6470,1
Geological STorage of CO2,http://info.deepcarbon.net/individual/2783de906105e797cff85e24d4,1
Geology,http://info.deepcarbon.net/individual/db07847bd-3fce-408d-9c4e-7df3e854ac85,29
Geology,http://info.deepcarbon.net/individual/db07847bd-3fce-408d-9c4e-7df3e854ac85,29
Geomicrobiology,http://info.deepcarbon.net/individual/d28a67435-6cc9-474e-ac3a-60933048b7a1,45
Geomicrobiology (Microbial diversity,http://info.deepcarbon.net/individual/4efa448a7265e8510918b49630,1
Geophysical Fluid Mechanics,http://info.deepcarbon.net/individual/d1d6dc966-af8e-42a6-b3c3-69f95529ee30,10
Geophysical Web,http://info.deepcarbon.net/individual/7965532ffc04a4972c2f6e4500,1
Geophysics,http://info.deepcarbon.net/individual/d19b5b056-e4ae-4726-a620-61fd32ebd895,12
Geophysics,http://info.deepcarbon.net/individual/d19b5b056-e4ae-4726-a620-61fd32ebd895,12
Geoscience Vocabularies,http://info.deepcarbon.net/individual/d5375b56a-d8e9-44bd-84e7-7aca066fed34,1
Geoscience Vocabularies,http://info.deepcarbon.net/individual/d5375b56a-d8e9-44bd-84e7-7aca066fed34,1
Geosphere-Biosphere Coevolution,http://info.deepcarbon.net/individual/df153debc-301e-4a8f-bcf9-e7f99c30d5e5,2
Geothermal Systems,http://info.deepcarbon.net/individual/14ae64706f37924530890d54f5,1
Geothermal Systems,http://info.deepcarbon.net/individual/4b4e3f29915b64e0f81f898d89,1
Geothermal Systems,http://info.deepcarbon.net/individual/a71d854adaefe616fa414272ab,1
Geothermal Systems,http://info.deepcarbon.net/individual/ca611511bde7080ec71617f0bc,1
Geothermal energy,http://info.deepcarbon.net/individual/08a28f7e0c80635703550ef043,1
Geothermal energy,http://info.deepcarbon.net/individual/f9f58a85e4e15ba4d52f78c698,1
Global Element Budgets,http://info.deepcarbon.net/individual/dafb5ba20-027a-40ef-8d36-2d12b0c56f01,2
Global Media Relations,http://info.deepcarbon.net/individual/d5df05975-f274-4d7e-b02c-e56ebc52c090,1
Groundwater,http://info.deepcarbon.net/individual/db65cc35d-ebe1-4a4e-a0e9-cd3ca061db82,8
HP-HT experiments,http://info.deepcarbon.net/individual/d94e199533da7183123f876c86,1
HTHP-physics,http://info.deepcarbon.net/individual/fc418e02bd93ee9d4f555fb292,1
Hadal Microbiology,http://info.deepcarbon.net/individual/dfa715be9-6e26-4fb0-aa06-51fbc73db373,4
He and C isotopes,http://info.deepcarbon.net/individual/d7857ebd0-58e1-425f-b8bc-4a0711c83e17,6
High Pressure,http://info.deepcarbon.net/individual/d675586bf-5956-4113-a75f-fd3d75332e79,9
High Pressure Biophysics,http://info.deepcarbon.net/individual/db3f59734-458c-45f2-ade6-f0183db94620,3
High Pressure Crystallography,http://info.deepcarbon.net/individual/d1b00757c-3695-4975-b310-1c0cbd22b8c5,7
High Pressure Neutron Methods,http://info.deepcarbon.net/individual/d3fa5e570-d1fd-4268-b046-169504db701c,1
High Pressure Physics,http://info.deepcarbon.net/individual/d2532b8fb-3687-436d-a6ce-600a90e7d3fe,6
High Pressure Research,http://info.deepcarbon.net/individual/ddc142951-44ea-4046-90ab-ef232cb8e21c,5
High Pressure Science,http://info.deepcarbon.net/individual/d009d9275-b326-4050-a726-38751c24fc82,7
High Pressure Spectroscopy,http://info.deepcarbon.net/individual/d7b2a54d3-bf86-43a3-82c9-89373cba3c16,4
High Pressure Techniques,http://info.deepcarbon.net/individual/d7e6e346c-47ed-489d-8cc7-dc88444c3ae2,4
High Pressure X-Ray Methods,http://info.deepcarbon.net/individual/d0f3b2992-8832-496f-8c14-284c1b44bf60,5
High pressure experiment,http://info.deepcarbon.net/individual/1980abeb93a154c137d6853a63,1
